
start_time	end_time	hr	hr_max	hr_min	steps	calories
2/20 10:20	2/20 10:25	None	None	None	113.19394638	4.61688276667
2/20 10:25	2/20 10:30	None	None	None	17.1370804059	6.08333
2/20 10:30	2/20 10:35	None	None	None	50.1142857143	5.13171793333
2/20 10:35	2/20 10:40	None	None	None	0.825396825397	5.14432206667
2/20 10:40	2/20 10:45	None	None	None	3.1746031746	6.08333
2/20 10:45	2/20 10:50	None	None	None	None	6.08333
2/20 10:50	2/20 10:55	None	None	None	10.0	6.08333
2/20 10:55	2/20 11:0	None	None	None	79.5	6.08333
2/20 11:0	2/20 11:5	93.0	None	93.0	347.81	13.7871335667
2/20 11:5	2/20 11:10	None	None	None	554.576666667	22.2585593333
2/20 11:10	2/20 11:15	None	None	None	453.113333333	18.2758916667
2/20 11:15	2/20 11:20	None	None	None	None	9.76654543333
2/20 11:20	2/20 11:25	None	None	None	None	3.88554523333
2/20 11:25	2/20 11:30	None	None	None	None	None
2/20 11:30	2/20 11:35	None	None	None	None	3.64780776667
2/20 11:35	2/20 11:40	None	None	None	None	6.09177527681
2/20 11:40	2/20 11:45	None	None	None	None	2.54171195652
2/20 11:45	2/20 11:50	None	None	None	None	None
2/20 11:50	2/20 11:55	None	None	None	11.0	5.70256484962
2/20 11:55	2/20 12:0	None	None	None	48.0	5.54154755914
2/20 12:0	2/20 12:5	None	None	None	8.0	5.92271759124
2/20 12:5	2/20 12:10	None	None	None	None	2.63281218638
2/20 12:10	2/20 12:15	None	None	None	None	6.07955058029
2/20 12:15	2/20 12:20	None	None	None	None	6.08333
2/20 12:20	2/20 12:25	None	None	None	7.0	6.08333
2/20 12:25	2/20 12:30	None	None	None	None	6.08333
2/20 12:30	2/20 12:35	None	None	None	None	6.08333
2/20 12:35	2/20 12:40	54.0	None	54.0	None	6.08333
2/20 12:40	2/20 12:45	None	None	None	None	6.08333
2/20 12:45	2/20 12:50	None	None	None	None	6.08333
2/20 12:50	2/20 12:55	None	None	None	None	6.08333
2/20 12:55	2/20 13:0	None	None	None	None	6.08333
2/20 13:0	2/20 13:5	None	None	None	None	6.08333
2/20 13:5	2/20 13:10	66.0	None	66.0	None	6.08333
2/20 13:10	2/20 13:15	None	None	None	None	6.08333
2/20 13:15	2/20 13:20	None	None	None	None	6.08333
2/20 13:20	2/20 13:25	None	None	None	None	6.08333
2/20 13:25	2/20 13:30	None	None	None	None	6.08333
2/20 13:30	2/20 13:35	None	None	None	None	6.08333
2/20 13:35	2/20 13:40	91.0	None	91.0	None	6.08333
2/20 13:40	2/20 13:45	None	None	None	202.457337884	9.74939356667
2/20 13:45	2/20 13:50	None	None	None	465.622662116	18.2742993333
2/20 13:50	2/20 13:55	None	None	None	607.570205761	26.218844
2/20 13:55	2/20 14:0	None	None	None	197.742651382	17.4503888667
2/20 14:0	2/20 14:5	None	None	None	19.6071428571	5.93146423333
2/20 14:5	2/20 14:10	None	None	None	3.0	6.08333
2/20 14:10	2/20 14:15	85.0	None	85.0	None	6.08333
2/20 14:15	2/20 14:20	None	None	None	None	6.08333
2/20 14:20	2/20 14:25	None	None	None	None	6.08333
2/20 14:25	2/20 14:30	None	None	None	None	6.08333
2/20 14:30	2/20 14:35	None	None	None	None	6.08333
2/20 14:35	2/20 14:40	None	None	None	None	6.08333
2/20 14:40	2/20 14:45	53.0	None	53.0	None	6.08333
2/20 14:45	2/20 14:50	None	None	None	None	6.08333
2/20 14:50	2/20 14:55	None	None	None	None	6.08333
2/20 14:55	2/20 15:0	66.0	None	66.0	None	6.08333
2/20 15:0	2/20 15:5	None	None	None	None	6.08333
2/20 15:5	2/20 15:10	79.0	None	79.0	None	6.08333
2/20 15:10	2/20 15:15	None	None	None	None	6.08333
2/20 15:15	2/20 15:20	None	None	None	None	6.08333
2/20 15:20	2/20 15:25	75.0	None	75.0	169.588447653	12.2852372333
2/20 15:25	2/20 15:30	None	None	None	458.138219013	20.7765556667
2/20 15:30	2/20 15:35	160.0	None	160.0	515.986666667	23.1167
2/20 15:35	2/20 15:40	None	None	None	388.713390805	16.4771645667
