hr,max_hr,min_hr,steps,calories,mvpa,
58,58,58,37,4.8632522,0,FALSE
55,55,55,118.28,9.4825773,0,FALSE
55,55,55,398.51999,20.543373,0,FALSE
55,55,55,307.54443,13.611371,0,FALSE
55,55,55,177.65555,14.184509,0,FALSE
55,55,55,0,6.0833302,0,FALSE
55,55,55,0,6.0833302,0,FALSE
55,55,55,0.50574714,6.5963202,0,FALSE
55,55,55,43.494251,8.0525503,0,FALSE
55,55,55,0.087866113,7.3122258,0,FALSE
55,55,55,36.912132,10.980865,0,FALSE
65,65,65,0,6.95508,0,FALSE
60,60,60,1,6.95508,0,FALSE
57,57,57,0,6.95508,0,FALSE
56,56,56,0,6.95508,0,FALSE
55,55,55,0,6.95508,0,FALSE
55,55,55,0,6.95508,0,FALSE
55,55,55,0,6.95508,0,FALSE
55,55,55,0,6.95508,0,FALSE
55,55,55,0,6.95508,0,FALSE
55,55,55,0,6.95508,0,FALSE
55,55,55,0,6.95508,0,FALSE
55,55,55,21,6.95508,0,FALSE
55,55,55,0,6.95508,0,FALSE
55,55,55,0,6.95508,0,FALSE
55,55,55,2,6.95508,0,FALSE
55,55,55,0.93333334,6.95508,0,FALSE
55,55,55,0.06666667,6.95508,0,FALSE
55,55,55,0,6.95508,0,FALSE
55,55,55,0,6.95508,0,FALSE
55,55,55,0,6.95508,0,FALSE
55,55,55,0,6.95508,0,FALSE
55,55,55,0,6.95508,0,FALSE
55,55,55,0,6.95508,0,FALSE
55,55,55,0,6.95508,0,FALSE
55,55,55,9.6842108,6.95508,0,FALSE
1765.48,1765.48,1765.48,13.315789,6.95508,0,FALSE
910.47998,910.47998,910.47998,25,6.95508,0,FALSE
482.48001,482.48001,482.48001,0,6.95508,0,FALSE
268.48001,268.48001,268.48001,0,6.95508,0,FALSE
161.48,161.48,161.48,0,6.95508,0,FALSE
70.606667,70,70,47.426666,6.95508,0,FALSE
73.5,74,73,109.29333,8.1097307,1,TRUE
82,82,82,299.44,23.222778,1,TRUE
234,234,234,803.17334,64.222801,1,TRUE
68,69,67,797.72668,64.105621,1,TRUE
126.247,229,95,737.95331,60.039982,1,TRUE
92.812202,145,67,528.97998,42.082241,0,FALSE
81,81,81,481.06668,26.4293,0,FALSE
65,65,65,487.34668,26.4293,0,FALSE
62,60,60,433.59332,23.443752,0,FALSE
62,72,52,0,10.77349,0,FALSE
72,73,72,0,6.1301498,0,FALSE
56,56,56,0,6.1301498,0,FALSE
55,55,55,0,6.8421807,0,FALSE
74,74,74,49,13.058587,0,FALSE
60,60,60,7.4516129,26.4293,0,FALSE
57,57,57,90.832664,26.4293,1,TRUE
87,112,62,387.18906,26.4293,1,TRUE
71,83,58,638.10669,26.4293,1,TRUE
113,113,113,611.99951,26.4293,1,TRUE
110,116,104,408.4205,26.4293,1,TRUE
62,62,62,169.50667,26.4293,0,FALSE
69.5,71,68,413.3974,23.497072,0,FALSE
69.5,63,61,67.09594,10.97817,0,FALSE
61,61,61,0,6.1301498,0,FALSE
58,58,58,37,4.8632522,0,FALSE
54,54,54,21.116505,6.8746619,0,FALSE
71.5,84,59,54.100224,11.143678,0,FALSE
53,53,53,72.223267,8.7692356,0,FALSE
54,54,54,420.53333,27.853271,1,TRUE
204.5,205,204,610.71997,48.818096,1,TRUE
67,67,67,543.01331,36.578381,1,TRUE
87,87,87,588.78723,21.838329,1,TRUE
57.5,71,71,199.50607,15.772927,1,TRUE
57.5,63,52,0,5.6030402,0,FALSE
98,98,98,0,5.6030402,0,FALSE
52,52,52,150.45334,7.985291,0,FALSE
166,166,166,477.29333,21.257967,1,TRUE
110,110,110,625.08569,32.358906,0,FALSE
54,54,54,152.16763,22.035675,0,FALSE
78,78,78,0,5.6030402,0,FALSE
63,63,63,0,5.6030402,0,FALSE
59,59,59,42,5.6030402,0,FALSE
81,81,81,74.158104,5.6030402,0,FALSE
134,134,134,15.508564,5.6030402,0,FALSE
86,86,86,23.333334,5.6030402,0,FALSE
90,90,90,38.712872,5.6030402,0,FALSE
93,93,93,71.287132,5.6030402,0,FALSE
91,91,91,80.59375,5.6030402,0,FALSE
74,74,74,16.40625,5.6030402,0,FALSE
64,64,64,7.2457914,5.6030402,0,FALSE
99,99,99,48.023026,5.6030402,0,FALSE
83,83,83,78.014519,5.6030402,0,FALSE
48,48,48,14.56282,5.6030402,0,FALSE
79,79,79,31.797682,5.6030402,0,FALSE
67,67,67,15.356164,5.6030402,0,FALSE
47,47,47,41.360001,5.6030402,0,FALSE
80,80,80,19.306667,5.6030402,0,FALSE
67,67,67,14.333333,5.6030402,0,FALSE
108,108,108,0,5.6030402,0,FALSE
63,63,63,6,5.6030402,0,FALSE
59,59,59,13.173333,5.6030402,0,FALSE
96,96,96,17.202553,5.6030402,0,FALSE
52,52,52,13.624113,5.6030402,0,FALSE
52,52,52,5,5.6030402,0,FALSE
62,62,62,0,5.6030402,0,FALSE
106,106,106,0.14516129,5.6030402,0,FALSE
55,55,55,2.8548386,5.6030402,0,FALSE
105,105,105,49.400002,5.6030402,0,FALSE
60,60,60,3.3368421,5.6030402,0,FALSE
57,57,57,19.263159,5.6030402,0,FALSE
172,172,172,0,5.6030402,0,FALSE
76,76,76,0,5.6030402,0,FALSE
190,190,190,0,5.6030402,0,FALSE
122,122,122,0,5.6030402,0,FALSE
83,83,83,0,5.6030402,0,FALSE
98,98,98,0,5.6030402,0,FALSE
